Antonia	givenname	0	1	
Antonie	givenname	0	1	
Antoninus	givenname	0	1	
Antonios	givenname	0	1	
Antti	givenname	0	1	
Anwar	givenname	0	1	
Anže	givenname	0	1	
Aoife	givenname	0	1	
Aparna	givenname	0	1	
Apollonia	givenname	0	1	
Appius	givenname	0	1	
April	givenname	0	1	
Arash	givenname	0	1	
Araxi	givenname	0	1	
Archana	givenname	0	1	
Archibald	givenname	0	1	
Areus	givenname	0	1	
Aria	givenname	0	1	
Arian	givenname	0	1	
Ariane	givenname	0	1	
Ariano	givenname	0	1	
Aribert	givenname	0	1	
Ariel	givenname	0	1	
Ariella	givenname	0	1	
Arif	givenname	0	1	
Arife	givenname	0	1	
Arik	givenname	0	1	
Arina	givenname	0	1	
Aristeides	givenname	0	1	
Aristide	givenname	0	1	
Aristides	givenname	0	1	
Aristion	givenname	0	1	
Aristodemos	givenname	0	1	
Ariston	givenname	0	1	
Arjen	givenname	0	1	
Arkadius	givenname	0	1	
Armando	givenname	0	1	
Armgard	givenname	0	1	
Armin	givenname	0	1	
Armindo	givenname	0	1	
Arndt	givenname	0	1	
Arne	givenname	0	1	
Arnfried	givenname	0	1	
Árni	givenname	0	1	
Arnim	givenname	0	1	
Arno	givenname	0	1	
Arnold	givenname	0	1	
Arnor	givenname	0	1	
Arnór	givenname	0	1	
Arnošt	givenname	0	1	
Arnulf	givenname	0	1	
Aron	givenname	0	1	
Arrhidaios	givenname	0	1	
Arsenije	givenname	0	1	
Arslan	givenname	0	1	
Art	givenname	0	1	
Artem	givenname	0	1	
Arthur	givenname	0	1	
Artin	givenname	0	1	
Artjom	givenname	0	1	
Arttu	givenname	0	1	
Artturi	givenname	0	1	
Artula	givenname	0	1	
Arūnas	givenname	0	1	
Arved	givenname	0	1	
Arvid	givenname	0	1	
Arvo	givenname	0	1	
Arvydas	givenname	0	1	
Arzu	givenname	0	1	
Åsa	givenname	0	1	
Asbjörn	givenname	0	1	
Asbjørn	givenname	0	1	
Ásbjörn	givenname	0	1	
Aschot	givenname	0	1	
Åse	givenname	0	1	
Ásgeir	givenname	0	1	
Asger	givenname	0	1	
Ashley	givenname	0	1	
Asim	givenname	0	1	
Asios	givenname	0	1	
Aşkın	givenname	0	1	
Aslan	givenname	0	1	
Aslı	givenname	0	1	
Asmund	givenname	0	1	
Ásmundur	givenname	0	1	
Asmus	givenname	0	1	
Assan	givenname	0	1	
Assar	givenname	0	1	
Assol	givenname	0	1	
Asterion	givenname	0	1	
Asterius	givenname	0	1	
Astrid	givenname	0	1	
Atalay	givenname	0	1	
Atanas	givenname	0	1	
Atanasije	givenname	0	1	
Atarah	givenname	0	1	
Atay	givenname	0	1	
Athanasios	givenname	0	1	
Atilla	givenname	0	1	
Attila	givenname	0	1	
Atze	givenname	0	1	
Audrey	givenname	0	1	
Audrun	givenname	0	1	
Audun	givenname	0	1	
August	givenname	0	1	
Augusta	givenname	0	1	
Auguste	givenname	0	1	
